utterance,intentions
greetings i am looking for a museum to visit on the west side of,informfeenameaddress
can i get the postcode for that museum,informnamepostcode
im also looking for a train that goes to birmingham new street and leaves on,requestdeparture
i am departing from cambridge and would like to be in birmingham new street by 2045 at the,offerbook
a later train would be better what trains arrive around,select
what is the departure time for the one arriving at,offerbook
that wont be necessary thank you for your help that is all i need,bye
im looking for a train leaving after 1630 leaving on,requestdeparturedestination
i want to go birmingham new street from,offerbook
yes please i need a booking for 4 people and i want the reference number thanks for being so,offerbookreferencepeopletrainid
yes im also looking for information on the lensfield,informinternetparkingnamepricerangearea
okay thanks can you please book it for the same group of 4 people for 2 nights starting,bookreference
would you be able to help me with a particular,requestname
i am looking for the address postcode and attraction type for peoples portraits exhibition at girton college thank,informpostcodetypeaddress
what is the,informarea
yes that will be all  thanks for your help ,bye
i would like a cheap restaurant in the north part of town,informfoodareaname
is there anything,informpricerangenamearea
is there anything else in the cheap price range on the north side of,informnameareapricerange
address and phone number for royal spice yes,informphonenameaddress
no thats everything thank you,bye
my taxi should arrive by,requestdepartureleaveatdestinationarriveby
hello i am looking for a place called the broughton house gallery can you help,informareaaddress
yes can you tell me what type of attraction it is and whether or not there is an entrance,informnamefee
thank you for the information  i also need a train that goes to cambridge leaving,requestleaveat
i am looking for a place to stay with free wifi and a 0 star,select
one with moderate price range,informnamearea
can you find a hotel in the same price,selectname
do they have rooms available for 5 people for 5 nights starting on,select
yes thats fine thank you so,bye
we will thanks,bye
i want a train out of stevenage on,requestdestination
i want to arrive by 1130 at,select
the one arriving at 1043 i just need 1 ticket and a reference number,offerbookreferencedaydestinationdeparturearriveby
i also would like to find an italian restaurant to eat at in the,select
la margherita is perfect for me please book me a table at that,requestdaytime
saturday at,requestdaytime
could you see if theres anything at,bookreference
